long_threshold,short_threshold,min_confidence,min_position,trades,coverage,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,hit_rate,benchmark_symbol,benchmark_cumulative_return,excess_return,alpha,beta,information_ratio,objective_score
0.05,0.05,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.05,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.1,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.1,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.2,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.2,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.25,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.25,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.05,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.05,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.1,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.1,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.2,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.2,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.25,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.1,0.25,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.05,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.05,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.1,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.1,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
